"Ref. ID","Title Verified","Authors Verified","Year Verified","Venue Verified","DOI Verified","Full Text?","Used for Which Claim?","Evidence locator","Uncertainty","","","","","","","","","",""
"P21","Verified","Verified against authoritative record","Verified","Verified","Crossref identity verified; resolver 200 → https://oaj.fupress.net/index.php/formare/article/view/10189","Abstract only","Gaze-based remote participation is not an unexplored application.","Official journal abstract","","","","","","","","","","",""
"P22","Verified","Crossref and official AIS proceedings listing agree; deposited spelling retained","Verified","Verified","Crossref identity verified; resolver 200 → https://scholarspace.manoa.hawaii.edu/items/ce8a05a1-c02f-4e45-addd-c30439513499","Abstract only","Glove-mediated remote assistive communication is relevant prior art.","Institutional abstract and Crossref proceedings record","Deposited spelling retained; official AIS proceedings listing agrees. Institutional records may use alternate name order.","","","","","","","","","",""
"P23","Verified","Verified against authoritative record","Verified","Verified","Not supplied; official source used","Full text","Checkpoint recovery of computation is established; physical presentation is a different boundary.","Author manuscript abstract, algorithm context and evaluation section","","","","","","","","","","",""
"P24","Verified","Verified against authoritative record","Verified","Verified","Crossref identity verified; resolver 403 → https://dl.acm.org/doi/10.1145/2018436.2018443","Abstract only","Deadline awareness alone is established; AMP needs an application-specific advantage.","Official Microsoft Research abstract","Crossref lists Ant Rowtron; corrected to Ant Rowstron using Microsoft Research. First author appears as Christo in Crossref and Christopher on the Microsoft page.","","","","","","","","","",""
"P25","Verified","CSIRO record used; Crossref discrepancy flagged","Verified","Verified","Crossref identity verified; resolver 202 → https://ieeexplore.ieee.org/document/7582463/","Abstract only","IoT middleware is a mature comparison domain for AMP.","Official CSIRO publication record and abstract","Use CSIRO-authoritative final record; Crossref says Michael Z. Sheng, 2016 and pages 1-1.","","","","","","","","","",""
"P26","Verified","Verified against authoritative record","Verified","Verified","Not supplied; official source used","Full text","Multimodal output systems already used acknowledgments after completed presentation.","Output planning and presentation-coordination discussion","","","","","","","","","","",""
"P27","Verified","Verified against authoritative record","Verified","Verified","Crossref identity verified; resolver 403 → https://www.tandfonline.com/doi/full/10.1080/10400435.2024.2369547","Abstract only","Renderer actuation and intelligibility must be evaluated separately.","Publisher abstract and Crossref metadata","Online publication 2024; later issue assignment not verified.","","","","","","","","","",""
"S01","Verified","Verified against authoritative record","Verified","Verified","Not supplied; official source used","Full text","Distributed modality components and start/done/pause/resume lifecycle are established.","Section 6 lifecycle events; Appendix F transport binding","","","","","","","","","","",""
"S02","Verified","Verified against authoritative record","Verified","Verified","Not supplied; official source used","Full text","Modality separation, user/context adaptation and session concepts predate AMP.","Sections 3, 4, 7 and 8","","","","","","","","","","",""
"S03","Verified","Verified against authoritative record","Verified","Verified","Not supplied; official source used","Full text","Intermediate interpretation exchange is established; EMMA is not a universal meaning-preserving translator.","Introduction and annotation/interpretation sections","","","","","","","","","","",""
"S04","Verified","Verified against authoritative record","Verified","Verified","Not supplied; official source used","Full text","Device/service description has an existing standard foundation.","Information model and interaction affordances","","","","","","","","","","",""
"S05","Verified","Verified against authoritative record","Verified","Verified","Not supplied; official source used","Full text","Discovery infrastructure should be reused or compared, not renamed as AMP novelty.","Sections on introduction, exploration and directories","","","","","","","","","","",""
"S06","Verified","Verified against authoritative record","Verified","Verified","Not supplied; official source used","Full text","MQTT acknowledgment concerns protocol delivery, not proof of accessible presentation.","QoS section 4; message/session expiry and Receive Maximum properties","","","","","","","","","","",""
"S07","Verified","Verified against authoritative record","Verified","Verified","Not supplied; official source used","Full text","Receiver credit and partial-transfer resume are prior art; transfer offsets do not establish tactile progress.","Part 2 transport: flow/link credit; Part 3 messaging: 3.4.1 Received","","","","","","","","","","",""
"S08","Verified","Verified against authoritative record","Verified","Verified","Not supplied; official source used","Full text","Receiver-demand backpressure is established; specification does not define assistive meaning.","Publisher rule 1; Subscriber rule 1; Subscription rules","","","","","","","","","","",""
"S09","Verified","Verified against authoritative record","Verified","Verified","Not supplied; official source used","Full text","Displayed state differs from receipt; the specification also requires accessible marker representations and privacy controls.","Displayed semantics; sections 6, 8 and 11","","","","","","","","","","",""
"S10","Verified","Verified against authoritative record","Verified","Verified","Not supplied; official source used","Full text","Session resumption and transport/application boundary management precede AMP.","Acknowledgments and resumption sections","Version 1.6.3 dated 2025-07-28 verified in official document header.","","","","","","","","","",""
"S11","Verified","Verified against authoritative record","Verified","Verified","Not supplied; official source used","Full text","Intermittency, expiry and durable forwarding are established; presentation needs an additional contract.","Bundle fields, lifetime, fragmentation and status reporting","","","","","","","","","","",""
"S12","Verified","Verified against authoritative record","Verified","Verified","Not supplied; official source used","Full text","Accessible remote multimedia and relay architectures are prior art.","Framework and accessibility/relay discussion","","","","","","","","","","",""
"S13","Verified","Verified against authoritative record","Verified","Verified","Not supplied; official source used","Full text","Receiver maximum character rate can be negotiated and updated; overflow handling is explicit.","Section 4.2.1 character-rate and overflow rules","","","","","","","","","","",""
"S14","Verified","Verified against authoritative record","Verified","Verified","Not supplied; official source used","Full text","Language preferences and directional negotiation are established; language-based routing and UI are outside this RFC.","Scope and section 5","","","","","","","","","","",""
"S15","Verified","Verified against authoritative record","Verified","Verified","Not supplied; official source used","Full text","Receiver window flow control is established and operates below accessible presentation.","Receiver window and flow-control specification","","","","","","","","","","",""
"S16","Verified","Verified against authoritative record","Verified","Verified","Not supplied; official source used","Full text","Timing and control requirements inform interfaces; WCAG is not a complete assistive hardware or protocol standard.","Timing Adjustable and Pause, Stop, Hide criteria","WCAG 2.2 first published in 2023; this citation uses the fixed 2024 revision.","","","","","","","","","",""
"S17","Verified","Verified against authoritative record","Verified","Verified","Not supplied; official source used","Abstract only","Pluggable, device-independent remote interfaces are older prior art.","Official ISO abstract and status","","","","","","","","","","",""
"S18","Verified","Verified against authoritative record","Verified","Verified","Not supplied; official source used","Abstract only","Preference-based access matching is established independently of diagnosis labels.","Official ISO scope/abstract","","","","","","","","","","",""
"S19","Verified","Verified against authoritative record","Verified","Verified","Not supplied; official source used","Full text","Receipt at a recipient client does not imply reading or understanding.","Introduction and receipt semantics","","","","","","","","","","",""
"S20","Verified","Verified against authoritative record","Verified","Verified","Not supplied; official source used","Full text","Conversational state signaling is established.","State model and support discovery","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
